ID,Latitude,Longitude
USC00056266,39.1136,-108.3506
USC00056270,37.5333,-107.1833
USC00056271,37.4333,-107.15
USC00056280,39.115,-104.9178
USC00056299,40.6167,-102.4667
USC00056306,38.8522,-107.6225
USC00056307,38.8667,-107.5833
USC00056308,38.8475,-107.6222
USC00056311,39.45,-108.05
USC00056315,38.3667,-108.95
USC00056318,38.3833,-108.9833
USC00056320,38.3897,-108.9494
USC00056323,39.5144,-104.7503
USC00056326,39.5289,-104.6567
USC00056342,39.9167,-106.1167
USC00056382,40.9667,-106.5667
USC00056410,38.45,-105.0667
USC00056430,39.2667,-104.9667
USC00056438,39,-103.7333
USC00056513,38.6,-106.5333
USC00056520,38.0178,-108.0514
USC00056524,37.9944,-108.0211
USC00056559,37.35,-106.5333
USC00056591,37.5875,-108.7842
USC00056651,38.2667,-107.1
USC00056705,37.3167,-102.7167
USC00056710,37.2333,-103.0833
USC00056743,38.2833,-104.65
USC00056748,38.2667,-104.6
USC00056753,38.2833,-104.6167
USC00056763,38.3167,-104.35
USC00056765,38.2597,-104.7178
USC00056767,38.1833,-104.65
USC00056797,40.2411,-107.0864
USC00056811,40.3667,-106.7167
USC00056816,39.8297,-105.2353
USC00056820,40.4486,-106.1844
USC00056832,40.0889,-108.7728
USC00056842,40.8667,-105.0167
USC00056917,39.5167,-106.3667
USC00056921,40.7978,-105.5856
USC00056925,40.7833,-105.55
USC00056930,40.7333,-105.5167
USC00056966,39.1833,-107.2333
USC00056970,39.2,-107.3
USC00056977,37.7167,-105.3167
USC00057017,37.7131,-108.0386
USC00057020,38.15,-107.7583
USC00057031,39.5447,-107.7853
USC00057033,39.5572,-107.7261
USC00057050,37.7219,-107.2667
USC00057167,38.0383,-103.6947
USC00057187,40.15,-104.3833
USC00057200,38.0936,-105.3486
USC00057249,39.4286,-105.0703
USC00057287,38.8611,-104.0939
USC00057296,40.7022,-105.7106
USC00057309,38.8417,-104.9742
USC00057315,37.9,-104.9333
USC00057317,37.9136,-104.9483
USC00057337,38.0858,-106.1444
USC00057345,38.7,-106.3667
USC00057370,38.5328,-106.0158
USC00057371,38.5333,-106.05
USC00057421,37.7667,-107.15
USC00057428,37.1953,-105.4242
USC00057430,37.1953,-105.4244
USC00057433,37.65,-105.8
USC00057450,37.8225,-107.1097
USC00057455,38.4833,-107.1833
USC00057460,38.4039,-106.4236
USC00057461,38.4,-106.5
USC00057510,39.3856,-104.9453
USC00057513,40.9383,-102.5253
USC00057515,40.8658,-102.5161
USC00057519,39.295,-102.8678
USC00057557,39.55,-103.35
USC00057560,39.5719,-103.2922
USC00057572,37.715,-105.2353
USC00057582,38.4681,-102.2947
USC00057586,38.4683,-102.2169
USC00057618,39.5703,-107.2267
USC00057648,40.0328,-105.5758
USC00057656,37.8089,-107.6633
USC00057664,39.1397,-104.0878
USC00057682,40.5833,-105.6
USC00057816,39.4,-105.1833
USC00057848,40.4725,-106.4475
USC00057862,37.4,-102.6167
USC00057866,37.3694,-102.7428
USC00057867,37.2833,-102.6167
USC00057871,37.3167,-102.7167
USC00057881,39.6833,-105.5
USC00057928,37.2167,-107.2667
USC00057936,40.4883,-106.8233
USC00057950,40.6278,-103.2083
USC00057992,37.2931,-102.1864
USC00058008,39.3047,-102.6003
USC00058022,39.4344,-105.1208
USC00058064,39.2494,-106.3714
USC00058092,37.4333,-106.6
USC00058100,40.5,-108.2667
USC00058148,40,-105.85
USC00058154,37.5167,-107.7833
USC00058157,38.3422,-104.0567
USC00058184,38.8183,-106.6086
USC00058204,37.9492,-107.8736
USC00058212,39.3333,-106.3333
USC00058220,37.0708,-105.0572
USC00058260,39.6167,-103.1833
